# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 25 12:58:17 CDT 2022 [seed=1653501485735]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(RUTI)	age(RUTI)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
14000	-34187.02138627457	-737.9771627675312	-33449.044223507044	2085.431559208644	-65.4315592086441	5113.574616314178	13.839971865534876	2006.1600281344652	39.51179295880451	1.4266614366116877	0.24686986989431015	0.2177278550985311	0.2453121561312645	0.2900901188758943	0.01803707491326655	0.018037074913266553	-33449.044223507044	0.0	-647.9331115891142
15000	-31963.099719582744	-716.5371937372337	-31246.56252584551	2160.431276473065	-140.43127647306483	5274.957395457997	15.171101928528355	2004.8288980714717	47.03048946893417	1.3748865498688092	0.25072950082008266	0.21402933397258606	0.24557339038033965	0.2896677748269918	0.012122277189370326	0.012122277189370326	-31246.56252584551	0.0	-654.8438836079232
16000	-30769.93664931159	-711.7633966092224	-30058.173252702367	2142.7056543836907	-122.70565438369067	5245.504647504376	15.289835160356574	2004.7101648396433	54.21252831293786	1.5396865019396433	0.24812692858467045	0.21605500932806845	0.24925452574304222	0.2865635363442191	0.01105020284638934	0.01105020284638934	-30058.173252702367	0.0	-655.8841515780252
17000	-29791.15563454937	-724.5231773681588	-29066.63245718121	2176.0764054371093	-156.07640543710932	5477.114985538943	15.289835160356574	2004.7101648396433	58.778226607567575	1.4370364275563978	0.2533602150419283	0.21605500932806845	0.24402123928578434	0.2865635363442191	0.010747107288646383	0.010747107288646387	-29066.63245718121	0.0	-667.7417030396177
18000	-27369.28036847684	-706.85096580722	-26662.42940266962	2152.2155324741075	-132.21553247410748	5363.598679163271	15.106622473530885	2004.893377526469	46.916221412268506	1.4384035984700194	0.2456167152350943	0.22200936678424923	0.2425345026406512	0.28983941534000546	0.00946649232613394	0.009466492326133934	-26662.42940266962	0.0	-658.4359802530251
19000	-27143.72484713589	-699.7247445032908	-26444.0001026326	2190.076227695229	-170.07622769522914	5262.3420830070645	15.106622473530885	2004.893377526469	52.934003134466465	1.4384035984700194	0.2511559819226602	0.20729044295644805	0.25171415978088646	0.28983941534000546	0.00995713467482448	0.009957134674824482	-26444.0001026326	0.0	-649.5308985038696
20000	-26646.91430071143	-636.6692634082067	-26010.245037303222	2140.288322236216	-120.28832223621612	3376.943539392077	15.106622473530885	2004.893377526469	40.869644359545376	1.5077545209402168	0.2492148378849059	0.22398579065415508	0.24595373180060437	0.2808456396603349	0.00974737827124881	0.00974737827124881	-26010.245037303222	0.0	-605.9758048607547
21000	-26454.97313711212	-642.6241607129786	-25812.348976399142	2212.8344920833256	-192.83449208332559	3567.130147298692	15.106622473530885	2004.893377526469	34.15022818729027	1.5444217414944539	0.24707611284286188	0.2226379552440116	0.24809245684264838	0.2821934750704784	0.009014551942135544	0.009014551942135548	-25812.348976399142	0.0	-612.9219114675233
22000	-25576.582999925286	-654.7161888028296	-24921.866811122454	2180.406091855132	-160.40609185513222	3636.495036493577	15.106622473530885	2004.893377526469	38.681842290721825	1.8222209377382963	0.2487669325509014	0.21926845828546115	0.24548230400678142	0.28648230515685624	0.007033393594930447	0.007033393594930448	-24921.866811122454	0.0	-631.4879191213453
23000	-24563.19870635885	-656.6363192159446	-23906.562387142905	2287.745715107113	-267.745715107113	3863.8271244288917	15.106622473530885	2004.893377526469	49.04400491159248	1.7094608680671397	0.24012784782717483	0.2144066655649102	0.25053116441109885	0.29493432219681637	0.006208318574199985	0.0062083185741999836	-23906.562387142905	0.0	-634.8986634180192
24000	-24269.04259331447	-648.8142698598134	-23620.228323454656	2207.7408708034513	-187.74087080345134	3616.257809030705	15.106622473530885	2004.893377526469	38.687763552322366	1.662717489112457	0.25116252910029635	0.21942943602568743	0.24090912024531935	0.28849891462869715	0.0065047703850329265	0.006504770385032927	-23620.228323454656	0.0	-627.7415683644471
25000	-23561.69250562933	-653.1594764147203	-22908.53302921461	2300.1424807071644	-280.1424807071644	3867.169322434347	15.106622473530885	2004.893377526469	48.22187829419019	1.662717489112457	0.2420955938079965	0.21944325501454395	0.24125294038625822	0.2972082107912016	0.005293820259753649	0.005293820259753649	-22908.53302921461	0.0	-635.0538522128584
26000	-22570.902300742102	-688.6283959736804	-21882.273904768423	2368.167511103349	-348.16751110334917	5243.188472304276	15.2039296354572	2004.7960703645429	59.766724605725486	1.771421320068135	0.2420955938079965	0.22994253110983595	0.2388423828952591	0.2891194921869087	0.004431823770521288	0.004431823770521288	-21882.273904768423	0.0	-667.7397258588494
27000	-21810.896559881206	-680.8452401781955	-21130.051319703012	2405.8709943576073	-385.8709943576073	5219.991747909159	15.632290612322794	2004.3677093876772	54.80660216534792	1.8321428507271051	0.24851105800548237	0.223141586723687	0.24523137150771307	0.2831159837631178	0.004134872824419015	0.004134872824419016	-21130.051319703012	0.0	-661.703723444138
28000	-21772.702276716187	-685.9869852342079	-21086.715291481978	2419.8283768608826	-399.8283768608826	5248.567755200767	15.632290612322794	2004.3677093876772	51.79725295567227	1.8398528610556943	0.23975198223571126	0.223141586723687	0.24484229023095794	0.2922641408096441	0.004117931842322575	0.004117931842322575	-21086.715291481978	0.0	-666.8743375328964
29000	-21025.7136879419	-668.6284682202834	-20357.08521972162	2388.6259129345735	-368.62591293457353	4457.876355466004	16.314285268184264	2003.6857147318158	60.47851085766161	1.9697050232022764	0.2387750275613347	0.2293197040844331	0.2458192449053345	0.286086023448898	0.004117931842322575	0.004117931842322576	-20357.08521972162	0.0	-652.482590930693
30000	-20954.396275842802	-665.7447204110014	-20288.6515554318	2303.669648892201	-283.66964889220117	4251.444243409613	16.56727074119924	2003.4327292588007	53.731372199657336	1.8921593445540654	0.24223883490909145	0.22770334591345398	0.2450264212390082	0.2850313979384467	0.004628639977424074	0.004628639977424074	-20288.6515554318	0.0	-648.3451661664878
31000	-20906.93889633446	-666.3334502799827	-20240.605446054476	2349.2776314743946	-329.27763147439464	4321.576815507219	16.165899295759793	2003.8341007042402	51.749949988524314	1.8591071541634265	0.2350599053327802	0.22572675447895124	0.24253969053545538	0.2966736496528135	0.004478554046272601	0.0044785540462726	-20240.605446054476	0.0	-649.3335583339255
32000	-20822.105934101015	-664.105406524468	-20158.000527576547	2299.158354516655	-279.158354516655	4265.563593187394	16.250658575114322	2003.7493414248856	50.87197783154573	1.8756187386092853	0.24059437799120498	0.22255188499781947	0.24765613727970415	0.28919759973127174	0.00453372843339038	0.004533728433390381	-20158.000527576547	0.0	-647.1187715916911
33000	-20708.6060192611	-666.0046018121366	-20042.601417448965	2310.7038071186657	-290.70380711866574	4258.491433572156	16.5437911746383	2003.4562088253617	41.635290393661954	1.8756187386092853	0.23984782074666477	0.22341302564593676	0.24471029669615793	0.29202885691124086	0.004854240857102142	0.004854240857102143	-20042.601417448965	0.0	-647.8505111166952
34000	-20683.287387219818	-661.1927815481531	-20022.094605671664	2237.3307681431043	-217.33076814310425	4136.560783923516	16.99683927549961	2003.0031607245005	45.816407686642776	1.9698303854437493	0.24371859608916896	0.22292746503870187	0.24471029669615793	0.2886436421759716	0.0049577459388102695	0.00495774593881027	-20022.094605671664	0.0	-643.0435091780025
35000	-20662.34189760331	-661.5456143857515	-20000.796283217558	2308.7681179215524	-288.7681179215524	4238.661749930415	17.065212340586864	2002.9347876594131	40.536143569359275	1.7847471450675294	0.2473214601759335	0.2183256577162806	0.24833974364676584	0.28601313846102044	0.0049577459388102695	0.0049577459388102695	-20000.796283217558	0.0	-643.1000088955079
36000	-20589.964892207965	-662.9517481493356	-19927.01314405863	2301.5618038430284	-281.56180384302843	4231.191265764976	16.69775112145669	2003.3022488785432	48.498798608611125	1.902502644525952	0.2431216605998108	0.21956224517118927	0.2530869119380081	0.2842291822909922	0.005028148933615658	0.0050281489336156575	-19927.01314405863	0.0	-644.0100178227306
37000	-20593.2113015207	-660.7265574148133	-19932.484744105885	2345.2843874821247	-325.28438748212466	4307.213564571779	16.666530539640846	2003.333469460359	54.06808242557372	1.7165070171070922	0.23362848058943006	0.21466752163566916	0.2579423063886686	0.2937616913862326	0.004795772092335437	0.004795772092335437	-19932.484744105885	0.0	-642.403327071666
38000	-20486.225799117645	-652.7494876511108	-19833.476311466533	2232.2917852153023	-212.2917852153023	3993.20019331884	16.87501784090048	2003.1249821590995	44.891656897183495	1.9099404444230867	0.2394841362842992	0.2110606599157086	0.2504593859038663	0.2989958178961264	0.005363293119349332	0.0053632931193493315	-19833.476311466533	0.0	-633.6791770205633
39000	-20450.06896590985	-646.3374502575413	-19803.731515652307	2268.6755413485575	-248.67554134855754	3976.7732042555417	16.921953197322	2003.078046802678	39.15746586602691	1.6962364976884552	0.23952369593629017	0.21872154365507204	0.2493038475859894	0.2924509128226489	0.005478389107722969	0.0054783891077229705	-19803.731515652307	0.0	-627.1088672304319
40000	-20409.231478219	-649.1641788420069	-19760.067299376995	2273.551199439409	-253.55119943940917	4041.084184398582	16.921953197322	2003.078046802678	42.111919445619726	2.0223691161473183	0.23952369593629017	0.21872154365507204	0.24343287939169056	0.29832188101694773	0.005459157039301644	0.0054591570393016445	-19760.067299376995	0.0	-629.4653561688572
41000	-20362.710621095488	-646.502785457917	-19716.20783563757	2316.243506083204	-296.243506083204	4046.709683937682	17.095904251167585	2002.9040957488323	36.756857361133946	1.9840063757280146	0.24903941693519804	0.21253523410942826	0.24984551627396023	0.28857983268141396	0.005375876623124183	0.005375876623124184	-19716.20783563757	0.0	-627.270061228837
42000	-20351.75574313499	-639.2677946832349	-19712.487948451755	2227.0327897384727	-207.03278973847273	3869.9251692355365	17.095904251167585	2002.9040957488323	39.52485202414515	1.812838270051063	0.24903941693519804	0.21787266501162633	0.24450808537176216	0.28857983268141396	0.005274692617591479	0.005274692617591479	-19712.487948451755	0.0	-621.3610151534159
43000	-20334.995310344	-635.2873466779522	-19699.707963666046	2267.7939579816302	-247.79395798163023	3772.8791771643446	17.62900279308057	2002.3709972069194	44.084998731548026	1.812838270051063	0.24589994963337658	0.21787266501162633	0.24450808537176216	0.2917192999832354	0.00566485738382561	0.005664857383825611	-19699.707963666046	0.0	-616.2628414501746
44000	-20324.231921502807	-628.1702625011857	-19696.06165900162	2234.6157741025463	-214.6157741025463	3699.948892404555	17.295532771131537	2002.7044672288685	35.435648772100606	1.812838270051063	0.24529738369879794	0.22411503678622594	0.24741554862398712	0.2831720308909895	0.005671100265076438	0.005671100265076437	-19696.06165900162	0.0	-609.7438893924641
45000	-20267.74046137397	-632.8045294913921	-19634.935931882577	2254.5187976489674	-234.5187976489674	3895.6695982030546	17.377028333607164	2002.622971666393	39.84278999784211	1.773178965881298	0.2436490630476068	0.2212623708376063	0.25264437754027275	0.28244418857451464	0.0058252245547127405	0.005825224554712741	-19634.935931882577	0.0	-612.5791585356484
46000	-20256.282530823075	-627.187787928814	-19629.09474289426	2213.5445788373204	-193.5445788373204	3748.9194381605607	17.495868306650344	2002.5041316933496	33.32589602494294	2.011462632063381	0.2408737238525542	0.2212623708376063	0.25264437754027275	0.2852195277695672	0.00593740419053643	0.005937404190536431	-19629.09474289426	0.0	-607.4498877027628
47000	-20237.19041194712	-628.3923371452921	-19608.798074801827	2263.842514571413	-243.84251457141318	3837.796795597824	17.495868306650344	2002.5041316933496	37.24735618263287	1.956359792362693	0.2448857294480049	0.22016817991932638	0.24863237194482204	0.28631371868784716	0.005955566371789085	0.005955566371789083	-19608.798074801827	0.0	-607.9781518155294
48000	-20246.170592552273	-633.4628984300431	-19612.70769412223	2353.1047382575443	-333.10473825754434	4057.6617033763973	17.495868306650344	2002.5041316933496	36.26654960092106	1.956359792362693	0.24152469628457443	0.2264098906799727	0.2432209352601912	0.28884447777526223	0.006064586675518955	0.006064586675518956	-19612.70769412223	0.0	-611.3423948562189
49000	-20216.556809703703	-622.2762240982751	-19594.28058560543	2234.46991799221	-214.46991799220996	3639.7590035578637	17.495868306650344	2002.5041316933496	34.82303091737584	1.862871138128642	0.24995422084297417	0.21723440175807585	0.24396689962368828	0.28884447777526223	0.006155692294131803	0.006155692294131803	-19594.28058560543	0.0	-602.3752334778126
50000	-20216.829969725524	-626.8797119611016	-19589.950257764423	2228.2812276660657	-208.28122766606566	3742.9247483727077	17.65401640264905	2002.345983597351	41.13391056214085	1.7517097529526506	0.24503718121536994	0.21723440175807585	0.2488839392512925	0.28884447777526223	0.006197937454089266	0.006197937454089266	-19589.950257764423	0.0	-606.0749810886958
51000	-20184.902365506143	-630.8116796706308	-19554.090685835512	2271.7124944708144	-251.71249447081436	3807.041424922939	17.511592814648072	2002.488407185352	46.508720607539175	1.886640555472615	0.2465523810670729	0.21673961001295305	0.2479220271366037	0.2887859817833709	0.005979860126949359	0.005979860126949359	-19554.090685835512	0.0	-610.2882829093851
52000	-20147.719659578805	-617.8684416853114	-19529.851217893494	2234.3121553971255	-214.31215539712548	3677.2465072815667	17.54919963255867	2002.4508003674414	34.663593865551995	1.8531031622957062	0.23914069218671374	0.21848134529648558	0.2499462503630391	0.29243171215376207	0.005844210376185062	0.005844210376185062	-19529.851217893494	0.0	-598.9217375937154
53000	-20150.88694276247	-619.2231895598716	-19531.6637532026	2218.954285106733	-198.9542851067331	3559.1292326714847	17.500820154381575	2002.4991798456185	40.63813306321817	1.800337949659809	0.24681444462508195	0.21576181832641303	0.24833617481388137	0.28908756223462406	0.006040237620015493	0.0060402376200154925	-19531.6637532026	0.0	-600.0988011855172
54000	-20154.470199918254	-611.3884225633999	-19543.081777354855	2194.8028751388133	-174.8028751388133	3463.8146846484888	17.471655012848842	2002.528344987151	35.95087516569803	1.800337949659809	0.24116736078894047	0.2200788947339574	0.25397768037193014	0.2847760641051724	0.006040237620015493	0.0060402376200154925	-19543.081777354855	0.0	-592.9487374309113
55000	-20158.570542338068	-615.3705664505122	-19543.199975887557	2217.720733620775	-197.7207336207748	3515.206756385527	17.496329714285388	2002.5036702857146	39.377068209295615	1.8469067297158528	0.24423195029575082	0.22311688748056607	0.25091309086511976	0.28173807135856377	0.006197646467538296	0.0061976464675382965	-19543.199975887557	0.0	-595.9515946730913
56000	-20149.693279398656	-613.5421005843582	-19536.1511788143	2284.4388683442235	-264.43886834422347	3635.988442516824	17.583664755744483	2002.4163352442556	34.606573884430155	1.7065485623169174	0.23879556989877804	0.2236124817067134	0.2525244677640214	0.28506748063048754	0.006357470550421665	0.006357470550421666	-19536.1511788143	0.0	-592.9842385190468
57000	-20154.941243681504	-615.7740771954171	-19539.167166486088	2287.9955971457744	-267.99559714577435	3642.4769142719706	17.524094388280496	2002.4759056117196	29.347545484809178	1.7446875656497725	0.23868955369303743	0.21958911276514587	0.25198578985644204	0.2897355436853751	0.00616468149594798	0.0061646814959479814	-19539.167166486088	0.0	-596.0426441066571
58000	-20159.590094335028	-616.1408172216331	-19543.449277113396	2215.6928031500797	-195.69280315007973	3521.310962385877	17.41145401236099	2002.588545987639	37.03772063239301	1.9266909829750345	0.2420440081833911	0.21958911276514587	0.24863133536608836	0.2897355436853751	0.006283072951670986	0.006283072951670985	-19543.449277113396	0.0	-596.4060667993888
59000	-20153.928611547984	-614.9224124647903	-19539.006199083193	2200.9767055886678	-180.97670558866776	3498.38395889052	17.41145401236099	2002.588545987639	33.67050999248078	1.9742547176846394	0.2389378074161855	0.21036130578942994	0.25544345909599264	0.2952574276983923	0.006039977425022071	0.0060399774250220715	-19539.006199083193	0.0	-596.2747282305371
60000	-20160.62389570616	-614.6393400470093	-19545.984555659154	2208.6163609929686	-188.61636099296857	3487.1302414952474	17.41145401236099	2002.588545987639	38.633450174224826	1.7803535206050731	0.23999342086180486	0.21864382872761604	0.24498186170453942	0.29638088870604007	0.006079352618564478	0.006079352618564479	-19545.984555659154	0.0	-595.8587652177247
61000	-20133.02839683654	-617.9504647010501	-19515.07793213549	2198.558778953359	-178.5587789533588	3521.722048531929	17.41145401236099	2002.588545987639	32.79678162156735	1.7803535206050731	0.2371961012958945	0.22069801334086273	0.2510033149338668	0.2911025704293764	0.006143152823174116	0.0061431528231741155	-19515.07793213549	0.0	-598.8984111307199
62000	-20117.2637871302	-619.5508164287409	-19497.712970701457	2245.4979725357784	-225.49797253577844	3588.6471102387577	17.720623574080456	2002.2793764259195	39.15972811679719	1.8361126179393688	0.24720660063090596	0.21980301689491358	0.24403787512667593	0.2889525073475049	0.006368685876451524	0.006368685876451522	-19497.712970701457	0.0	-599.0695493762144
63000	-20109.547643048336	-620.3052285083824	-19489.242414539953	2266.630273730668	-246.6302737306678	3682.98004101445	17.75409343651759	2002.2459065634823	39.550866438831136	1.7078198823791562	0.24513226426910348	0.21980322384776063	0.24630859256043863	0.28875591932269756	0.005990508438464617	0.005990508438464619	-19489.242414539953	0.0	-600.7022136960217
64000	-20117.093691522216	-622.2279812726871	-19494.865710249527	2260.421008581315	-240.42100858131516	3678.785541214882	17.75409343651759	2002.2459065634823	33.90664002737977	1.9509608811904358	0.2379285334670775	0.22931119208871933	0.24630859256043863	0.28645168188376485	0.006016667818153076	0.006016667818153077	-19494.865710249527	0.0	-602.6059067955906
65000	-20098.290588156902	-613.4899692348561	-19484.800618922047	2223.6097360439862	-203.60973604398623	3524.2083454094886	17.75409343651759	2002.2459065634823	37.105649447049224	1.8524519323353301	0.2428495604728425	0.2167325112300566	0.2489902686744805	0.29142765962262074	0.0059926327019376195	0.0059926327019376195	-19484.800618922047	0.0	-594.8129732765203
66000	-20098.127352998403	-620.3396719810953	-19477.787681017307	2223.2503546611297	-203.25035466112968	3561.618745225903	17.75409343651759	2002.2459065634823	41.12358185994102	1.7901485290654127	0.2428495604728425	0.2167325112300566	0.2489902686744805	0.29142765962262074	0.0059683093064112815	0.0059683093064112815	-19477.787681017307	0.0	-601.455060979838
67000	-20109.85833290085	-619.5463759981544	-19490.311956902697	2241.6309723998525	-221.63097239985245	3642.202063456845	18.06810098996617	2001.931899010034	36.113647235395085	1.7586133226269076	0.25199877020711714	0.2209574010713842	0.24151679341734117	0.28552703530415785	0.005834174167390962	0.005834174167390965	-19490.311956902697	0.0	-600.8347498076628
68000	-20115.727075561266	-620.4614679862641	-19495.265607575002	2261.6020071366893	-241.60200713668928	3652.7473635920037	17.78252377332975	2002.2174762266702	30.616943127438972	1.9528659278781635	0.24749735364468706	0.2185672449417583	0.2545670593185488	0.27936834209500616	0.006132101478377962	0.006132101478377962	-19495.265607575002	0.0	-600.6626412641846
69000	-20112.67447904443	-616.0202115368227	-19496.65426750761	2246.7477023243046	-226.74770232430456	3617.354708156831	17.71878420658305	2002.281215793417	33.70315094434358	1.6475887929020738	0.24252762512855588	0.2185672449417583	0.2511995366653137	0.2877055932643724	0.005808663209665757	0.005808663209665756	-19496.65426750761	0.0	-597.6593560823263
70000	-20105.606357241617	-614.2086710687879	-19491.39768617283	2222.200535989607	-202.20053598960703	3526.2765131551982	17.7183754340684	2002.2816245659317	31.39764580733913	1.833605334374224	0.24252762512855588	0.21893318686672875	0.2508335947403432	0.2877055932643724	0.005935939666622125	0.005935939666622125	-19491.39768617283	0.0	-595.8989617743911
71000	-20103.092810950417	-615.0617146914212	-19488.031096258994	2232.0552557932397	-212.05525579323967	3546.3215944887434	17.98259420344892	2002.017405796551	28.003758762901725	1.6704961656418171	0.2458843505044296	0.21348812631090358	0.2508335947403432	0.28979392844432383	0.006003453244799862	0.006003453244799864	-19488.031096258994	0.0	-596.5720786553871
72000	-20109.950271113164	-611.9752403269014	-19497.975030786263	2250.069582879539	-230.0695828795392	3578.2625225721868	17.76536699333607	2002.234633006664	34.82011748378037	2.0877301888050885	0.24474468272621575	0.21665882550685422	0.2437151011595925	0.29488139060733776	0.0062033798685461146	0.006203379868546116	-19497.975030786263	0.0	-592.1793154984183
73000	-20110.35208463741	-611.594179071674	-19498.757905565733	2234.1304514148933	-214.1304514148933	3535.1318790894447	17.76536699333607	2002.234633006664	34.32272208360594	1.8034749369773047	0.23964867041297844	0.21913110912202985	0.24726979294462179	0.29395042752037015	0.00610127162786759	0.0061012716278675905	-19498.757905565733	0.0	-592.558184018532
74000	-20112.421115154342	-614.6134035007619	-19497.80771165358	2230.1524821082658	-210.15248210826576	3569.6096987178407	17.693627283615605	2002.3063727163844	33.64578625951482	1.6788465634968965	0.2418190468847158	0.2189761157343692	0.25201708025342884	0.2871877571274864	0.005902245850907299	0.005902245850907299	-19497.80771165358	0.0	-596.1700133594145
75000	-20042.03029585121	-616.2814968551424	-19425.74879899607	2259.7561286101923	-239.75612861019226	3621.7486273715754	18.580970208071115	2001.4190297919288	35.16815950194868	1.7683945754349293	0.2418190468847158	0.2189761157343692	0.25201708025342884	0.2871877571274864	0.006100092217650873	0.0061000922176508736	-19425.74879899607	0.0	-596.7235291086345
76000	-20033.576417035863	-617.5835507948757	-19415.992866240987	2233.4531771823404	-213.45317718234037	3617.1654586551876	18.601123919939845	2001.39887608006	33.835056838434745	1.733164454460243	0.2473373131312541	0.2233645849036005	0.2393682279985069	0.28992987396663883	0.00606757180184486	0.006067571801844859	-19415.992866240987	0.0	-598.2263124096444
77000	-20044.291823784755	-614.4422560294488	-19429.849567755307	2251.860417873039	-231.86041787303884	3597.849409969979	18.601123919939845	2001.39887608006	32.7446319161341	1.8753159891422706	0.24753297674295435	0.21948838394688341	0.2386190541049609	0.29435958520520167	0.005977359056407904	0.005977359056407903	-19429.849567755307	0.0	-595.5062504614607
78000	-20033.77878496809	-616.8444514048963	-19416.934333563193	2244.1778673284894	-224.17786732848936	3597.9447507064438	18.601123919939845	2001.39887608006	30.806282334059258	1.8753159891422706	0.24753297674295435	0.21830061219507074	0.2503822814271633	0.283784129634812	0.005942352910304428	0.00594235291030443	-19416.934333563193	0.0	-598.0977966134731
79000	-20026.0164875587	-619.1452187761753	-19406.871268782525	2277.3058400449795	-257.3058400449795	3705.28399465226	18.71335853436012	2001.2866414656398	35.10597375305628	1.8753159891422706	0.2426288980330391	0.21670425272149665	0.24863425009655243	0.29203259914891216	0.005724178438729589	0.005724178438729589	-19406.871268782525	0.0	-600.4718636565898
80000	-20043.944303328688	-622.8480940694668	-19421.09620925922	2263.497189192825	-243.49718919282486	3710.7153132138455	18.83724850144462	2001.1627514985553	35.28956242128082	1.8293198394912054	0.24218052507680518	0.22093849154241438	0.24863425009655243	0.2882467332842284	0.005985993800503267	0.0059859938005032655	-19421.09620925922	0.0	-603.1640173555289
81000	-20039.521218769576	-617.8736525965929	-19421.647566172982	2257.3484944670545	-237.34849446705448	3631.851115656526	18.571282496451797	2001.4287175035481	31.24931087990182	1.8300399576169295	0.2426926355318393	0.21512354888986757	0.25382599812031914	0.2883578174579744	0.00614156162129995	0.00614156162129995	-19421.647566172982	0.0	-598.1943839326183
